,Título,Endereço,Número,Bairro,Cidade,Estado,Área,Quartos,Banheiros,Vagas,Preço
0,"Apartamento com 3 Quartos à Venda, 68m²",Avenida da República,5523,Guaíra,Curitiba,PR,68,3,2,2,R$ 410.000
1,MUV,Avenida Visconde de Guarapuava,3070,Centro,Curitiba,PR,20-36,1,1,--,A partir de     R$ 222.001
2,"Apartamento com 2 Quartos à Venda, 48m²",Rua Valentin Nichele,126,Pinheirinho,Curitiba,PR,48,2,1,1,R$ 320.000
3,"Apartamento com 2 Quartos à Venda, 62m²",Rua Professor Luiz César,1,Água Verde,Curitiba,PR,62,2,1,1,R$ 335.000
4,"Apartamento com 2 Quartos à Venda, 64m²",Rua Hildebrando de Araújo,189,Jardim Botânico,Curitiba,PR,64,2,2,1,R$ 388.000
5,"Apartamento com 2 Quartos à Venda, 63m²",Rua Francisco Rocha,1529,Bigorrilho,Curitiba,PR,63,2,2,1,R$ 610.000
6,"Apartamento com 2 Quartos à Venda, 10m²",N/I,N/I,Campo de Santana,Curitiba,PR,10,2,1,2,R$ 117.000
7,"Apartamento com 2 Quartos à Venda, 57m²",Rua Assis Figueiredo,N/I,Guaíra,Curitiba,PR,57,2,2,1,R$ 339.000
8,Mont Tannat,Avenida Visconde de Guarapuava,3116,Centro,Curitiba,PR,34-70,1-2,1-2,1-2,N/I
9,"Apartamento com 2 Quartos à Venda, 48m²",Rua Lothario Boutin,553,Pinheirinho,Curitiba,PR,48,2,2,1,R$ 250.000
10,"Apartamento com 2 Quartos à Venda, 56m²",Rua Professor Pedro Viriato Parigot de Souza,4554,Cidade Industrial,Curitiba,PR,56,2,2,1,R$ 350.000
11,"Apartamento com 2 Quartos à Venda, 66m²",Rua Carlos Klemtz,1410,Fazendinha,Curitiba,PR,66,2,1,1,R$ 230.000
12,"Apartamento com 2 Quartos à Venda, 80m²",Avenida Prefeito Maurício Fruet,1270,Cajuru,Curitiba,PR,80,2,2,2,R$ 590.000
13,"Apartamento com 3 Quartos à Venda, 105m²",Rua Candido Lopes,231,Centro,Curitiba,PR,105,3,2,--,R$ 349.900
14,"Apartamento com 2 Quartos à Venda, 56m²",Rua Eduardo Pinto da Rocha,3198,Sitio Cercado,Curitiba,PR,56,2,1,1,R$ 156.989      Preço abaixo do mercado
15,Residencial Mont Tannat - 35m²,Avenida Visconde de Guarapuava,3130,Centro,Curitiba,PR,35,1,1,--,R$ 365.230
16,"Apartamento com 2 Quartos à Venda, 57m²",Rua Francisco Raitani,7187,Capão Raso,Curitiba,PR,57,2,1,1,R$ 315.000
17,"Apartamento com 3 Quartos à Venda, 91m²",Rua Palmeiras,86,Água Verde,Curitiba,PR,91,3,3,1,R$ 630.000
18,"Apartamento com 3 Quartos à Venda, 106m²",Rua Canadá,533,Bacacheri,Curitiba,PR,106,3,3,2,R$ 980.499
19,"Apartamento com 2 Quartos à Venda, 52m²",Rua Eduardo Carlos Pereira,N/I,Portão,Curitiba,PR,52,2,1,1,R$ 280.000      Preço abaixo do mercado
20,"Apartamento com 2 Quartos à Venda, 47m²",Rua Desembargador Cid Campelo,N/I,Cidade Industrial,Curitiba,PR,47,2,2,1,R$ 210.000
21,"Apartamento com 3 Quartos à Venda, 61m²",Rua Odair Pazello,234,Capão Raso,Curitiba,PR,61,3,1,1,R$ 249.000      Preço abaixo do mercado
22,"Apartamento com 2 Quartos à Venda, 57m²",Rua Assis Figueiredo,1315,Guaíra,Curitiba,PR,57,2,1,1,R$ 349.000
23,"Apartamento com 3 Quartos à Venda, 156m²",Rua Palmeiras,725,Água Verde,Curitiba,PR,156,3,4,2,R$ 1.070.000      Preço abaixo do mercado
24,"Apartamento com 2 Quartos à Venda, 53m²",Rua Coronel Pretextato Pena Forte Taborda Ribas,385,Santa Quitéria,Curitiba,PR,53,2,1,1,R$ 410.000
25,"Apartamento com 2 Quartos à Venda, 64m²",Rua Arnaldo Thá,233,Fazendinha,Curitiba,PR,64,2,1,1,R$ 350.000
26,"Apartamento com 3 Quartos à Venda, 49m²",Rua João Dembinski,2380,Campo Comprido,Curitiba,PR,49,3,1,1,R$ 180.000
27,"Apartamento com 3 Quartos à Venda, 71m²",Rua Pedro Américo,175,Capão Raso,Curitiba,PR,71,3,1,1,R$ 299.900      Preço abaixo do mercado
28,"Apartamento com 3 Quartos à Venda, 65m²",Rua Lothario Boutin,111,Pinheirinho,Curitiba,PR,65,3,1,--,R$ 260.000
29,"Apartamento com 2 Quartos à Venda, 57m²",Rua Assis Figueiredo,N/I,Guaíra,Curitiba,PR,57,2,2,1,R$ 339.000
30,"Apartamento com 3 Quartos à Venda, 100m²",Avenida Senador Souza Naves,1035,Cristo Rei,Curitiba,PR,100,3,2,1,R$ 460.000      Preço abaixo do mercado
31,"Apartamento com 2 Quartos à Venda, 41m²",Rua Nicolau Vorobi,235,Cidade Industrial,Curitiba,PR,41,2,1,1,R$ 152.000
32,"Apartamento com 3 Quartos à Venda, 86m²",Rua Alcino Guanabara,2100,Hauer,Curitiba,PR,86,3,2,1,R$ 320.000      Preço abaixo do mercado
33,"Apartamento com 3 Quartos à Venda, 88m²",Avenida Vicente Machado,2696,Campina do Siqueira,Curitiba,PR,88,3,2,1,R$ 320.000      Preço abaixo do mercado
34,"Apartamento com 2 Quartos à Venda, 64m²",Rua Engenheiros Rebouças,233,Jardim Botânico,Curitiba,PR,64,2,2,1,R$ 400.000
35,"Apartamento com 3 Quartos à Venda, 107m²",Avenida Paraná,1670,Bacacheri,Curitiba,PR,107,3,3,2,R$ 850.000      Preço abaixo do mercado
36,"Apartamento com 2 Quartos à Venda, 70m²",Rua Urbano Lopes,N/I,Cristo Rei,Curitiba,PR,70,2,1,1,R$ 490.000
37,Residencial Mont Tannat - 70m²,Avenida Visconde de Guarapuava,3130,Centro,Curitiba,PR,70,2,2,1,R$ 850.600
38,"Apartamento com 3 Quartos à Venda, 119m²",Rua João Américo de Oliveira,N/I,Hugo Lange,Curitiba,PR,119,3,3,2,R$ 1.360.000
39,"Apartamento com  Quarto à Venda, 34m²",Alameda Doutor Muricy,73,Centro,Curitiba,PR,34,1,1,--,R$ 280.000
40,"Apartamento com 3 Quartos à Venda, 71m²",Rua Rio Iriri,10,Bairro Alto,Curitiba,PR,71,3,1,1,R$ 276.900
41,"Apartamento com 2 Quartos à Venda, 60m²",Rua Capitão José Maria Sobrinho,1787,Fanny,Curitiba,PR,60,2,2,2,R$ 464.000
42,"Apartamento com 2 Quartos à Venda, 110m²",Rua Barão de Guaraúna,187,Alto da Glória,Curitiba,PR,110,2,3,2,R$ 1.100.000
43,"Apartamento com 4 Quartos à Venda, 103m²",Rua Belém,322,Cabral,Curitiba,PR,103,4,4,--,"R$ 600.000
                        
Preço abaixo do mercado"
44,VG 2700,Avenida Visconde de Guarapuava,2700,Centro,Curitiba,PR,17-60,1,1,--,"De R$ 194.300 até R$ 588.900
                          
                            R$ 194.300"
45,"Apartamento com 2 Quartos à Venda, 64m²",Avenida Iguaçu,2628,Água Verde,Curitiba,PR,64,2,3,1,R$ 685.000
46,"Apartamento com 2 Quartos à Venda, 43m²",Rua Jair Coelho,334,Caiuá,Curitiba,PR,43,2,1,1,R$ 129.000
47,"Apartamento com 2 Quartos à Venda, 154m²",Rua Bento Viana,380,Água Verde,Curitiba,PR,154,2,2,2,"R$ 982.197
                        
Preço abaixo do mercado"
48,"Apartamento com 2 Quartos à Venda, 57m²",Rua Costa Rica,1980,Bacacheri,Curitiba,PR,57,2,1,1,"R$ 235.000
                        
Preço abaixo do mercado"
49,"Apartamento com 2 Quartos à Venda, 96m²",Avenida Iguaçu,3791,Seminário,Curitiba,PR,96,2,3,2,R$ 1.163.208
50,"Apartamento com 2 Quartos à Venda, 74m²",N/I,N/I,Centro,Curitiba,PR,74,2,2,--,R$ 330.000
51,LIFESPACE ESTAÇÃO,Rua Barão do Rio Branco,763,Centro,Curitiba,PR,123-149,2,2,2,R$ 992.004
52,"Apartamento com 3 Quartos à Venda, 61m²",Rua Evaristo da Veiga,2910,Boqueirão,Curitiba,PR,61,3,2,1,R$ 285.000
53,"Apartamento com 2 Quartos à Venda, 84m²",Rua São Francisco,93,Centro,Curitiba,PR,84,2,2,--,R$ 450.000
54,"Apartamento com 3 Quartos à Venda, 111m²",Rua Bom Jesus,928,Juvevê,Curitiba,PR,111,3,2,2,R$ 1.230.000
55,"Apartamento com 3 Quartos à Venda, 62m²",N/I,N/I,Uberaba,Curitiba,PR,62,3,1,1,R$ 220.000
56,"Apartamento com 3 Quartos à Venda, 167m²",Rua Alferes Ângelo Sampaio,2974,Bigorrilho,Curitiba,PR,167,3,4,3,"R$ 1.100.000
                        
Preço abaixo do mercado"
57,"Apartamento com 3 Quartos à Venda, 93m²",Rua Antônio Ferreira,54,Portão,Curitiba,PR,93,3,2,2,R$ 749.900
58,Residencial Take Urban Habitat - 51.2m²,Avenida Iguaçu,1212,Rebouças,Curitiba,PR,51,2,2,1,R$ 429.900
59,"Apartamento com 2 Quartos à Venda, 53m²",Rua Amadeu Assad Yassim,N/I,Bacacheri,Curitiba,PR,53,2,2,1,R$ 345.000
60,"Apartamento com 3 Quartos à Venda, 54m²",Rua Nelson Ferreira da Luz,396,Santa Quitéria,Curitiba,PR,54,3,2,1,"R$ 190.000
                        
Preço abaixo do mercado"
61,"Apartamento com 2 Quartos à Venda, 44m²",N/I,N/I,Campo de Santana,Curitiba,PR,44,2,1,1,R$ 135.000
62,"Apartamento com 2 Quartos à Venda, 53m²",Rua Hilário Moro,526,Tingui,Curitiba,PR,53,2,2,1,R$ 245.000
63,"Apartamento com 3 Quartos à Venda, 107m²",Rua Mateus Leme,1074,Centro Cívico,Curitiba,PR,107,3,2,1,"R$ 360.000
                        
Preço abaixo do mercado"
64,"Apartamento com 3 Quartos à Venda, 53m²",Estrada Guilherme Weigert,2245,Santa Cândida,Curitiba,PR,53,3,1,1,R$ 220.000
65,Residencial Take Urban Habitat - 37.5m²,Avenida Iguaçu,1212,Rebouças,Curitiba,PR,37,1,2,1,R$ 399.900
66,"Apartamento com 3 Quartos à Venda, 72m²",Rua Aviador Cícero Marques,53,Bacacheri,Curitiba,PR,72,3,2,1,R$ 485.000
67,"Apartamento com  Quarto à Venda, 42m²",Rua Francisco Rocha,1140,Bigorrilho,Curitiba,PR,42,1,1,1,R$ 335.000
68,"Apartamento com 2 Quartos à Venda, 59m²",Rua Monte Castelo,821,Jardim Social,Curitiba,PR,59,2,2,2,R$ 498.730
69,"Apartamento com 2 Quartos à Venda, 56m²",Rua Tibagi,404,Centro,Curitiba,PR,56,2,1,--,"R$ 255.000
                        
Preço abaixo do mercado"
70,"Apartamento com 2 Quartos à Venda, 51m²",N/I,N/I,Santa Cândida,Curitiba,PR,51,2,1,1,R$ 291.500
71,"Apartamento com 3 Quartos à Venda, 98m²",N/I,N/I,Centro,Curitiba,PR,98,3,1,1,R$ 750.000
72,"Apartamento com  Quarto à Venda, 42m²",Rua Domingos Colatusso,111,Cidade Industrial,Curitiba,PR,42,1,1,1,R$ 83.500
73,Residencial Take Urban Habitat - 31.5m²,Avenida Iguaçu,1212,Rebouças,Curitiba,PR,31,1,1,--,R$ 305.900
74,"Apartamento com  Quarto à Venda, 25m²",Alameda Princesa Izabel,42,São Francisco,Curitiba,PR,25,1,1,1,R$ 290.000
75,"Apartamento com 3 Quartos à Venda, 57m²",Rua Antônio Gongola,193,Boa Vista,Curitiba,PR,57,3,1,1,"R$ 230.000
                        
Preço abaixo do mercado"
76,"Apartamento com 2 Quartos à Venda, 60m²",Rua Eduardo Carlos Pereira,4000,Portão,Curitiba,PR,60,2,1,1,R$ 503.000
77,"Apartamento com 2 Quartos à Venda, 80m²",Avenida Prefeito Maurício Fruet,1270,Cajuru,Curitiba,PR,80,2,2,2,R$ 590.000
78,"Apartamento com 2 Quartos à Venda, 84m²",Rua Visconde do Rio Branco,116,Mercês,Curitiba,PR,84,2,3,2,R$ 879.000
79,"Apartamento com 3 Quartos à Venda, 72m²",N/I,N/I,Hauer,Curitiba,PR,72,3,1,1,R$ 220.000
80,Residencial Take Urban Habitat,Avenida Iguaçu,1212,Rebouças,Curitiba,PR,51-63,2,2,1,"De R$ 429.900 até R$ 592.900
                          
                            R$ 429.900"
81,"Apartamento com 2 Quartos à Venda, 63m²",Rua Brasílio Itiberê,67,Jardim Botânico,Curitiba,PR,63,2,2,1,"R$ 445.000
                        
Preço abaixo do mercado"
82,"Apartamento com 2 Quartos à Venda, 41m²",Rua Nicola Pellanda,1346,Umbara,Curitiba,PR,41,2,1,1,R$ 199.000
83,"Apartamento com 3 Quartos à Venda, 109m²",Rua Urbano Lopes,383,Cristo Rei,Curitiba,PR,109,3,3,2,R$ 1.200.000
84,"Apartamento com 3 Quartos à Venda, 65m²",Rua Reinaldo Stocco,174,Pinheirinho,Curitiba,PR,65,3,2,1,R$ 375.000
85,"Apartamento com  Quarto à Venda, 30m²",Rua Izaac Ferreira da Cruz,1986,Sitio Cercado,Curitiba,PR,30,1,1,1,R$ 160.000
86,"Apartamento com 2 Quartos à Venda, 40m²",Rua Lodovico Kaminski,3250,Cidade Industrial,Curitiba,PR,40,2,1,1,R$ 135.000
87,Residencial Take Urban Habitat - 63.4m²,Avenida Iguaçu,1212,Rebouças,Curitiba,PR,63,2,2,1,R$ 592.900
88,"Apartamento com 2 Quartos à Venda, 45m²",Rua Aluízio Finzetto,3511,Prado Velho,Curitiba,PR,45,2,1,1,R$ 263.800
89,"Apartamento com  Quarto à Venda, 32m²",Travessa Rafael Francisco Greca,144,Água Verde,Curitiba,PR,32,1,1,1,R$ 401.940
90,"Apartamento com  Quarto à Venda, 27m²",Rua Irmãs Paulinas,N/I,Novo Mundo,Curitiba,PR,27,1,1,--,R$ 232.900
91,"Apartamento com 3 Quartos à Venda, 112m²",Rua Urbano Lopes,383,Cristo Rei,Curitiba,PR,112,3,3,3,R$ 1.267.163
92,"Apartamento com 2 Quartos à Venda, 133m²",Rua Barão do Serro Azul,331,Centro,Curitiba,PR,133,2,3,--,R$ 480.000
93,"Apartamento com 3 Quartos à Venda, 79m²",Rua Walenty Golas,N/I,Campo Comprido,Curitiba,PR,79,3,2,1,R$ 450.000
94,Residencial Take Urban Habitat - 26m²,Avenida Iguaçu,1212,Rebouças,Curitiba,PR,26,1,2,--,R$ 284.900
95,"Apartamento com 2 Quartos à Venda, 47m²",Rua Agostinho Brusamolin,333,Cidade Industrial,Curitiba,PR,47,2,1,1,R$ 200.000
96,"Apartamento com 2 Quartos à Venda, 52m²",Rua Jornalista Caio Machado,1051,Santa Quitéria,Curitiba,PR,52,2,1,1,R$ 400.865
97,"Apartamento com 2 Quartos à Venda, 60m²",Rua Nicolau Salomão,430,Tingui,Curitiba,PR,60,2,1,1,R$ 540.691
98,"Apartamento com 2 Quartos à Venda, 60m²",Rua Nicolau Salomão,430,Tingui,Curitiba,PR,60,2,2,1,R$ 451.948
99,"Apartamento com 3 Quartos à Venda, 100m²",Rua Doutor Manoel Pedro,318,Cabral,Curitiba,PR,100,3,3,1,"R$ 500.000
                        
Preço abaixo do mercado"
100,"Apartamento com  Quarto à Venda, 30m²",Rua Doutor Leão Mocellin,309,Santa Felicidade,Curitiba,PR,30,1,1,--,R$ 268.900
101,Residencial VG,Avenida Visconde de Guarapuava,2134,Centro,Curitiba,PR,30-53,1-2,1,--,"De R$ 267.742 até R$ 557.085
                          
                            R$ 267.742"
102,"Apartamento com 2 Quartos à Venda, 127m²",Rua Engenheiro Ostoja Roguski,700,Jardim Botânico,Curitiba,PR,127,2,3,2,R$ 930.000
103,"Apartamento com 2 Quartos à Venda, 46m²",Rua Francisco Zanicotti Sobrinho,N/I,Santa Cândida,Curitiba,PR,46,2,1,1,R$ 265.000
104,"Apartamento com 2 Quartos à Venda, 159m²",Rua Pasteur,273,Batel,Curitiba,PR,159,2,3,2,R$ 1.350.000
105,"Apartamento com 2 Quartos à Venda, 57m²",Avenida Marechal Mascarenhas de Moraes,995,Santa Cândida,Curitiba,PR,57,2,1,1,R$ 305.000
106,"Apartamento com 2 Quartos à Venda, 60m²",Rua Capitão José Maria Sobrinho,1787,Fanny,Curitiba,PR,60,2,2,2,R$ 488.000
107,"Apartamento com 3 Quartos à Venda, 111m²",Rua Alferes Ângelo Sampaio,679,Batel,Curitiba,PR,111,3,3,2,R$ 780.000
108,"Apartamento com 2 Quartos à Venda, 57m²",Avenida Marechal Mascarenhas de Moraes,995,Santa Cândida,Curitiba,PR,57,2,1,1,R$ 305.000
109,Cena Living,Rua José Loureiro,770,Centro,Curitiba,PR,22-34,1,1,--,R$ 229.568
110,"Apartamento com  Quarto à Venda, 30m²",Rua Deputado Mário de Barros,1700,Juvevê,Curitiba,PR,30,1,1,--,R$ 199.000
111,"Apartamento com 3 Quartos à Venda, 111m²",Rua Alferes Ângelo Sampaio,679,Batel,Curitiba,PR,111,3,3,2,R$ 780.000
112,"Apartamento com 3 Quartos à Venda, 134m²",Rua Professor Arthur Loyola,N/I,Cabral,Curitiba,PR,134,3,5,2,"R$ 1.250.000
                        
Preço abaixo do mercado"
113,"Apartamento com 3 Quartos à Venda, 262m²",Rua Raul Joaquim Quadros Gomes,85,Tarumã,Curitiba,PR,262,3,3,4,R$ 1.150.000
114,"Apartamento com 2 Quartos à Venda, 53m²",Rua Professor João Mazzarotto,430,Capão Raso,Curitiba,PR,53,2,1,1,R$ 360.000
115,"Apartamento com 3 Quartos à Venda, 61m²",Rua Reinaldo Stocco,174,Pinheirinho,Curitiba,PR,61,3,2,1,R$ 345.000
116,Residencial Cena Living,Rua José Loureiro,770,Centro,Curitiba,PR,26-34,1-2,1,--,"De R$ 244.195 até R$ 277.246
                          
                            R$ 244.195"
117,"Apartamento com 2 Quartos à Venda, 46m²",Rua José Zaleski,1240,Capão Raso,Curitiba,PR,46,2,1,2,R$ 378.000
118,"Apartamento com 2 Quartos à Venda, 111m²",Rua Zacarias Gomes de Souza,548,Uberaba,Curitiba,PR,111,2,2,1,R$ 440.000
119,"Apartamento com 2 Quartos à Venda, 45m²",Rua Lívio Petterle,167,Atuba,Curitiba,PR,45,2,1,1,R$ 317.359
120,"Apartamento com  Quarto à Venda, 24m²",Rua Treze de Maio,390,Centro,Curitiba,PR,24,1,1,--,R$ 233.600
121,"Apartamento com 3 Quartos à Venda, 79m²",Rua Vicente Ciccarino,594,Boa Vista,Curitiba,PR,79,3,2,1,"R$ 430.000
                        
Preço abaixo do mercado"
122,"Apartamento com  Quarto à Venda, 37m²",Avenida Marechal Floriano Peixoto,N/I,Centro,Curitiba,PR,37,1,1,1,R$ 390.000
123,Residencial Cena Living - 34m²,Rua José Loureiro,770,Centro,Curitiba,PR,34,2,1,--,R$ 277.246
124,"Apartamento com 3 Quartos à Venda, 80m²",Rua Gabriela Mistral,250,Ahú,Curitiba,PR,80,3,2,1,"R$ 456.000
                        
Preço abaixo do mercado"
125,"Apartamento com 2 Quartos à Venda, 41m²",Rua Nicola Pellanda,1656,Umbara,Curitiba,PR,41,2,1,1,R$ 199.000
126,"Apartamento com 3 Quartos à Venda, 67m²",Rua Amadeu Nico,100,Mossunguê,Curitiba,PR,67,3,2,1,R$ 474.540
127,"Apartamento com 2 Quartos à Venda, 51m²",Rua Jovino do Rosário,1526,Boa Vista,Curitiba,PR,51,2,1,1,R$ 450.000
128,"Apartamento com 3 Quartos à Venda, 155m²",Praça Padre João Bagozzi,1876,Água Verde,Curitiba,PR,155,3,5,3,R$ 2.099.438
129,"Apartamento com 2 Quartos à Venda, 84m²",Rua Visconde do Rio Branco,116,Mercês,Curitiba,PR,84,2,3,2,R$ 879.000
130,Residencial Cena Living - 26.3m²,Rua José Loureiro,770,Centro,Curitiba,PR,21,1,1,--,R$ 205.556
131,"Apartamento com 2 Quartos à Venda, 54m²",Rua Padre Germano Mayer,99,Cristo Rei,Curitiba,PR,54,2,1,1,R$ 399.000
132,"Apartamento com 3 Quartos à Venda, 48m²",Rua Carlos Klemtz,1410,Fazendinha,Curitiba,PR,48,3,1,1,R$ 169.000
133,"Apartamento com 2 Quartos à Venda, 44m²",Rua Lívio Petterle,167,Atuba,Curitiba,PR,44,2,1,1,R$ 304.000
134,"Apartamento com 2 Quartos à Venda, 45m²",N/I,N/I,Prado Velho,Curitiba,PR,45,2,1,1,R$ 269.000
135,"Apartamento com  Quarto à Venda, 24m²",Rua Professor Porthos Velozo,N/I,Parolin,Curitiba,PR,24,1,1,1,R$ 150.000
136,"Apartamento com  Quarto à Venda, 38m²",N/I,N/I,Alto Boqueirão,Curitiba,PR,38,1,1,1,R$ 220.000
137,Residencial Cena Living - 27.9m²,Rua José Loureiro,770,Centro,Curitiba,PR,27,1,1,--,R$ 244.195
138,"Apartamento com 3 Quartos à Venda, 63m²",Rua Velcy Bolívar Grandó,N/I,Uberaba,Curitiba,PR,63,3,1,2,R$ 340.000
139,"Apartamento com 3 Quartos à Venda, 119m²",Rua Engenheiros Rebouças,2613,Rebouças,Curitiba,PR,119,3,2,2,"R$ 895.000
                        
Preço abaixo do mercado"
140,"Apartamento com 2 Quartos à Venda, 58m²",Rua Coronel Joaquim Ignácio Taborda Ribas,896,Champagnat,Curitiba,PR,58,2,1,1,R$ 450.000
141,"Apartamento com 2 Quartos à Venda, 52m²",Rua Doutor Leão Mocellin,390,Santa Felicidade,Curitiba,PR,52,2,2,1,R$ 441.900
142,"Apartamento com 3 Quartos à Venda, 78m²",Rua Carlos Klemtz,1409,Fazendinha,Curitiba,PR,78,3,1,1,R$ 298.000
143,"Apartamento com 2 Quartos à Venda, 55m²",Rua Doutor Leão Mocellin,390,Santa Felicidade,Curitiba,PR,55,2,2,1,R$ 460.900
144,"Apartamento com 2 Quartos à Venda, 50m²",Avenida Winston Churchill,N/I,Capão Raso,Curitiba,PR,50,2,1,1,R$ 345.000
145,Cena Living,Rua José Loureiro,770,Centro,Curitiba,PR,26-40,--,1,--,N/I
146,"Apartamento com 2 Quartos à Venda, 49m²",Rua Casemiro Augusto Rodacki,N/I,Cidade Industrial,Curitiba,PR,49,2,1,1,R$ 339.900
147,"Apartamento com 2 Quartos à Venda, 97m²",Rua Victório Viezzer,353,Vista Alegre,Curitiba,PR,97,2,2,1,"R$ 499.000
                        
Preço abaixo do mercado"
148,"Apartamento com 3 Quartos à Venda, 72m²",N/I,N/I,Juvevê,Curitiba,PR,72,3,1,2,R$ 913.900
149,"Apartamento com 3 Quartos à Venda, 91m²",Rua Mato Grosso,N/I,Água Verde,Curitiba,PR,91,3,3,1,R$ 599.000
150,"Apartamento com 3 Quartos à Venda, 54m²",Rua Mário Chalbaud Biscaia,254,Novo Mundo,Curitiba,PR,54,3,1,1,R$ 239.000
151,"Apartamento com 3 Quartos à Venda, 80m²",Rua Pará,1306,Água Verde,Curitiba,PR,80,3,2,1,R$ 701.000
152,Ibiza,Rua Tibagi,740,Centro,Curitiba,PR,19-33,1-2,1,--,"De R$ 305.946 até R$ 367.099
                          
                            R$ 305.946"
153,"Apartamento com  Quarto à Venda, 32m²",Rua Casemiro Augusto Rodacki,103,Cidade Industrial,Curitiba,PR,32,1,1,--,R$ 267.900
154,"Apartamento com 2 Quartos à Venda, 56m²",Rua Tobias de Macedo Júnior,N/I,Barigui,Curitiba,PR,56,2,1,2,R$ 681.600
155,"Apartamento com 2 Quartos à Venda, 33m²",Rua Francisco Derosso,N/I,Alto Boqueirão,Curitiba,PR,33,2,1,1,R$ 210.000
156,"Apartamento com 2 Quartos à Venda, 42m²",Rua Oswaldo Portugal Lobato,450,Santa Cândida,Curitiba,PR,42,2,1,1,R$ 180.000
157,"Apartamento com 2 Quartos à Venda, 57m²",Rua Presidente Epitácio Pessoa,260,Tarumã,Curitiba,PR,57,2,2,1,R$ 484.000
158,"Apartamento com 3 Quartos à Venda, 95m²",Rua Vitória,337,Cabral,Curitiba,PR,95,3,3,1,R$ 904.900
159,La Tour Residence,Rua Desembargador Ermelino de Leão,181,Centro,Curitiba,PR,35,1,1,--,R$ 265.000
160,"Apartamento com  Quarto à Venda, 24m²",Rua Morretes,10,Portão,Curitiba,PR,24,1,1,--,R$ 175.000
161,"Apartamento com  Quarto à Venda, 22m²",N/I,N/I,Centro,Curitiba,PR,22,1,1,1,R$ 243.300
162,"Apartamento com 3 Quartos à Venda, 61m²",N/I,N/I,Campo Comprido,Curitiba,PR,61,3,1,1,R$ 265.000
163,"Apartamento com 3 Quartos à Venda, 150m²",Rua Doutor Antônio Amarante,248,Boa Vista,Curitiba,PR,150,3,2,1,R$ 750.000
164,"Apartamento com 4 Quartos à Venda, 146m²",Rua Pasteur,443,Batel,Curitiba,PR,146,4,2,2,R$ 949.000
165,"Apartamento com 2 Quartos à Venda, 41m²",Rua José Pereira de Araújo,213,Capão Raso,Curitiba,PR,41,2,1,--,R$ 175.000
166,Residencial Bosco Centrale - 107m²,Rua Mariano Torres,573,Centro,Curitiba,PR,107,3,2,2,R$ 1.172.500
167,"Apartamento com  Quarto à Venda, 22m²",Avenida São José,795,Cristo Rei,Curitiba,PR,22,1,1,--,R$ 243.200
168,"Apartamento com 2 Quartos à Venda, 50m²",Rua Padre Paulo Canelles,359,Santa Cândida,Curitiba,PR,50,2,1,1,R$ 275.000
169,"Apartamento com 2 Quartos à Venda, 50m²",Rua José Zaleski,1240,Neoville,Curitiba,PR,50,2,1,1,R$ 327.312
170,"Apartamento com 3 Quartos à Venda, 179m²",Rua Professora Ephigênia do Rego Barros,62,Mercês,Curitiba,PR,179,3,4,3,R$ 1.400.000
171,"Apartamento com  Quarto à Venda, 31m²",Rua Lysimaco Ferreira da Costa,460,Centro Cívico,Curitiba,PR,31,1,1,--,R$ 413.864
172,"Apartamento com 3 Quartos à Venda, 96m²",Rua Tobias de Macedo Júnior,000,Barigui,Curitiba,PR,96,3,1,2,R$ 680.000
173,Residencial Bosco Centrale - 106m²,Rua Mariano Torres,573,Centro,Curitiba,PR,106,2,2,2,R$ 1.091.200
174,"Apartamento com 4 Quartos à Venda, 149m²",Rua Reinaldo Hecke,N/I,São Lourenço,Curitiba,PR,149,4,5,2,R$ 1.390.000
175,"Apartamento com 2 Quartos à Venda, 54m²",Rua Aleixo Bettega,597,Lindóia,Curitiba,PR,54,2,2,1,R$ 370.000
176,"Apartamento com 3 Quartos à Venda, 117m²",Rua Monsenhor Manoel Vicente,532,Água Verde,Curitiba,PR,117,3,3,2,R$ 925.000
177,"Apartamento com  Quarto à Venda, 47m²",Rua Oscar Wilde,100,Novo Mundo,Curitiba,PR,47,1,1,1,R$ 297.830
178,"Apartamento com 2 Quartos à Venda, 52m²",Rua Padre Paulo Canelles,349,Santa Cândida,Curitiba,PR,52,2,1,1,R$ 290.000
179,"Apartamento com 2 Quartos à Venda, 40m²",N/I,N/I,Umbara,Curitiba,PR,40,2,1,1,R$ 175.000
180,"Apartamento com 2 Quartos à Venda, 50m²",Avenida Marechal Mascarenhas de Moraes,N/I,Santa Cândida,Curitiba,PR,50,2,1,1,R$ 295.000
181,Residencial Bosco Centrale,Rua Mariano Torres,573,Centro,Curitiba,PR,72-107,2-3,2,2,"De R$ 784.700 até R$ 1.172.500
                          
                            R$ 784.700"
182,"Apartamento com 2 Quartos à Venda, 56m²",Rua Augusto de Mari,N/I,Guaíra,Curitiba,PR,56,2,2,1,R$ 425.900
183,"Apartamento com 2 Quartos à Venda, 54m²",N/I,N/I,Santa Quitéria,Curitiba,PR,54,2,2,1,R$ 414.000
184,"Apartamento com 2 Quartos à Venda, 60m²",Rua João Batista Trentin,463,Tingui,Curitiba,PR,60,2,1,1,R$ 469.900
185,"Apartamento com 2 Quartos à Venda, 56m²",Rua Augusto de Mari,2561,Guaíra,Curitiba,PR,56,2,2,1,R$ 425.900
