,Título,Endereço,Número,Bairro,Cidade,Estado,Área,Quartos,Banheiros,Vagas,Preço
4341,"Apartamento com 2 Quartos à Venda, 53m²",Rua Irmãs Paulinas,5161,Novo Mundo,Curitiba,PR,53,2,2,1,R$ 427.900
4342,"Apartamento com 3 Quartos à Venda, 74m²",Rua João Alencar Guimarães,1745,Campo Comprido,Curitiba,PR,74,3,2,1,R$ 420.000
4343,"Apartamento com 4 Quartos à Venda, 245m²",Rua Professor Pedro Viriato Parigot de Souza,3065,Ecoville,Curitiba,PR,245,4,5,4,R$ 3.930.000
4344,"Apartamento com  Quarto à Venda, 24m²",Rua Martim Afonso,1543,Bigorrilho,Curitiba,PR,24,1,1,--,R$ 294.900
4345,"Apartamento com 3 Quartos à Venda, 144m²",Rua Natal Cecone,426,Campina do Siqueira,Curitiba,PR,144,3,5,2,R$ 1.400.000
4346,"Apartamento com  Quarto à Venda, 76m²",Rua Barão de Antonina,57,Centro Cívico,Curitiba,PR,76,1,2,2,R$ 650.000
4347,"Apartamento com 2 Quartos à Venda, 73m²",Rua Mariano Torres,573,Centro,Curitiba,PR,73,2,2,1,R$ 814.400
4348,"Apartamento com 3 Quartos à Venda, 61m²",Rua Maranhão,1931,Água Verde,Curitiba,PR,61,3,1,1,R$ 350.000
4349,"Apartamento com 3 Quartos à Venda, 230m²",Avenida Nossa Senhora da Luz,250,Cabral,Curitiba,PR,230,3,4,3,"R$ 1.990.000
                        
Preço abaixo do mercado"
4350,"Apartamento com  Quarto à Venda, 28m²",Avenida Visconde de Guarapuava,N/I,Centro,Curitiba,PR,28,1,1,--,R$ 265.000
4351,"Apartamento com  Quarto à Venda, 30m²",Rua Augusto de Mari,3840,Guaíra,Curitiba,PR,30,1,1,--,R$ 239.000
4352,"Apartamento com  Quarto à Venda, 19m²",Rua Doutor José Palú,73,Novo Mundo,Curitiba,PR,19,1,1,--,R$ 175.000
4353,"Apartamento com 3 Quartos à Venda, 152m²",Rua Bom Jesus,48,Juvevê,Curitiba,PR,152,3,4,--,R$ 850.000
4354,"Apartamento com 3 Quartos à Venda, 170m²",N/I,N/I,Água Verde,Curitiba,PR,170,3,3,2,R$ 2.587.000
